(0.00, 140.77, 0.00) | (0.00, 0.00, 259.44) | (0.00, 0.00, 76.06) | (0.00, 0.00, 18.77) | (0.00, 59.49, 0.00) | (0.00, 0.00, 101.56) | 
(0.00, 134.06, 0.00) | (0.00, 0.00, 268.49) | (0.00, 0.00, 77.62) | (0.00, 0.00, 26.30) | (0.00, 61.58, 0.00) | (0.00, 0.00, 92.73) | 
(0.00, 127.34, 0.00) | (0.00, 0.00, 277.53) | (0.00, 0.00, 79.20) | (0.00, 0.00, 33.98) | (0.00, 63.61, 0.00) | (0.00, 0.00, 83.99) | 
(0.00, 120.62, 0.00) | (0.00, 0.00, 286.52) | (0.00, 0.00, 80.83) | (0.00, 0.00, 41.95) | (0.00, 65.59, 0.00) | (0.00, 0.00, 75.40) | 
(0.00, 113.90, 0.00) | (0.00, 0.00, 295.41) | (0.00, 0.00, 82.55) | (0.00, 0.00, 50.38) | (0.00, 67.54, 0.00) | (0.00, 0.00, 67.07) | 
(0.00, 107.18, 0.00) | (0.00, 0.00, 304.15) | (0.00, 0.00, 84.43) | (0.00, 0.00, 59.39) | (0.00, 69.51, 0.00) | (0.00, 0.00, 59.10) | 
(0.00, 100.47, 0.00) | (0.00, 0.00, 312.67) | (0.00, 0.00, 86.54) | (0.00, 0.00, 69.02) | (0.00, 71.56, 0.00) | (0.00, 0.00, 51.60) | 
(0.00, 93.75, 0.00) | (0.00, 0.00, 320.89) | (0.00, 0.00, 88.93) | (0.00, 0.00, 79.29) | (0.00, 73.73, 0.00) | (0.00, 0.00, 44.68) | 
(0.00, 87.03, 0.00) | (0.00, 0.00, 328.77) | (0.00, 0.00, 91.67) | (0.00, 0.00, 90.14) | (0.00, 76.03, 0.00) | (0.00, 0.00, 38.44) | 
(0.00, 80.31, 0.00) | (0.00, 0.00, 336.23) | (0.00, 0.00, 94.82) | (0.00, 0.00, 101.48) | (0.00, 78.44, 0.00) | (0.00, 0.00, 32.89) | 
(0.00, 73.60, 0.00) | (0.00, 0.00, 343.26) | (0.00, 0.00, 98.41) | (0.00, 0.00, 113.19) | (0.00, 80.92, 0.00) | (0.00, 0.00, 28.05) | 
(0.00, 66.88, 0.00) | (0.00, 0.00, 349.85) | (0.00, 0.00, 102.44) | (0.00, 0.00, 125.17) | (0.00, 83.42, 0.00) | (0.00, 0.00, 23.82) | 
(0.00, 60.16, 0.00) | (0.00, 0.00, 356.03) | (0.00, 0.00, 106.87) | (0.00, 0.00, 137.31) | (0.00, 85.93, 0.00) | (0.00, 0.00, 20.10) | 
(0.00, 53.44, 0.00) | (0.00, 0.00, 361.88) | (0.00, 0.00, 111.64) | (0.00, 0.00, 149.55) | (0.00, 88.42, 0.00) | (0.00, 0.00, 16.74) | 
(0.00, 46.72, 0.00) | (0.00, 0.00, 367.53) | (0.00, 0.00, 116.61) | (0.00, 0.00, 161.83) | (0.00, 90.91, 0.00) | (0.00, 0.00, 13.59) | 
